# Band structure: file generated from Abinit band.out file. #
# Eigenvalues (eV) for nkpt= 221 k points. #
# Format: total path length, kx, ky, kz, one or more energy eigenvalues. #
37.24967 37.24967 44.73330 44.73330 47.04386 47.04386 49.88572 49.88572
51.17145 51.17145 53.26092 53.26092 56.28930 56.29445
0.5420021428024808 -0.0297 0.0297 0.5 -60.61704 -60.61704 -27.33531 -27.33531 -25.52851 -25.52851 -24.05389 -24.05389
15.30130 15.30130 16.21762 16.21762 16.64909 16.64909 17.68465 17.68465
18.32477 18.32477 19.09161 19.09161 19.87145 19.87145 22.17565 22.17565
24.10942 24.10942 25.96229 25.96229 27.69866 27.69866 29.10859 29.10859
37.28762 37.28762 44.72534 44.72534 47.01718 47.01718 49.83993 49.83993
51.22261 51.22261 53.28721 53.28721 56.22493 56.22585
0.5526087445202791 -0.0372 0.0372 0.5 -60.61707 -60.61707 -27.33495 -27.33495 -25.52808 -25.52808 -24.05437 -24.05437
15.30297 15.30297 16.22027 16.22027 16.64942 16.64942 17.65925 17.65925
18.32382 18.32382 19.05779 19.05779 19.92219 19.92219 22.18564 22.18564
24.08337 24.08337 25.96625 25.96625 27.70058 27.70058 29.11321 29.11321
37.33604 37.33604 44.71515 44.71515 46.98362 46.98362 49.78537 49.78537
51.28301 51.28301 53.32100 53.32100 56.16175 56.16249
0.5630739248818399 -0.0446 0.0446 0.5 -60.61709 -60.61709 -27.33452 -27.33452 -25.52756 -25.52756 -24.05495 -24.05495
15.30489 15.30489 16.22307 16.22307 16.64990 16.64990 17.62889 17.62889
18.32214 18.32214 19.02433 19.02433 19.97653 19.97653 22.19748 22.19748
24.05245 24.05245 25.97107 25.97107 27.70271 27.70271 29.11904 29.11904
37.39463 37.39463 44.70276 44.70276 46.94370 46.94370 49.72372 49.72372
51.35027 51.35027 53.36229 53.36229 56.10211 56.10215
0.5735391052434008 -0.052 0.052 0.5 -60.61713 -60.61713 -27.33402 -27.33402 -25.52695 -25.52695 -24.05564 -24.05564
15.30701 15.30701 16.22576 16.22576 16.65057 16.65057 17.59402 17.59402
18.31953 18.31953 18.99292 18.99292 20.03279 20.03279 22.21097 22.21097
24.01722 24.01722 25.97675 25.97675 27.70493 27.70493 29.12619 29.12619
37.46308 37.46308 44.68822 44.68822 46.89803 46.89803 49.65621 49.65621
51.42235 51.42235 53.41100 53.41100 56.04763 56.04795
0.584145706961199 -0.0595 0.0595 0.5 -60.61717 -60.61717 -27.33343 -27.33343 -25.52625 -25.52625 -24.05643 -24.05643
15.30923 15.30923 16.22803 16.22803 16.65145 16.65145 17.55517 17.55517
18.31585 18.31585 18.96474 18.96474 20.08969 20.08969 22.22582 22.22582
23.97831 23.97831 25.98326 25.98326 27.70712 27.70712 29.13481 29.13481
37.54099 37.54099 44.67157 44.67157 46.84724 46.84724 49.58370 49.58370
51.49761 51.49761 53.46705 53.46705 55.99934 55.99937
0.5946108873227599 -0.0669 0.0669 0.5 -60.61721 -60.61721 -27.33277 -27.33277 -25.52546 -25.52546 -24.05732 -24.05732
15.31145 15.31145 16.22956 16.22956 16.65252 16.65252 17.51297 17.51297
18.31105 18.31105 18.94055 18.94055 20.14627 20.14627 22.24170 22.24170
23.93647 23.93647 25.99057 25.99057 27.70913 27.70913 29.14505 29.14505
37.62795 37.62795 44.65288 44.65288 46.79204 46.79204 49.50667 49.50667
51.57478 51.57478 53.53028 53.53028 55.95792 55.95798
0.6050760676843208 -0.0743 0.0743 0.5 -60.61726 -60.61726 -27.33202 -27.33202 -25.52458 -25.52458 -24.05830 -24.05830
15.31357 15.31357 16.22998 16.22998 16.65368 16.65368 17.46822 17.46822
18.30516 18.30516 18.92075 18.92075 20.20181 20.20181 22.25824 22.25824
23.89250 23.89250 25.99866 25.99866 27.71080 27.71080 29.15706 29.15706
37.72349 37.72349 44.63220 44.63220 46.73313 46.73313 49.42539 49.42539
51.65285 51.65285 53.60047 53.60047 55.92375 55.92375
