#K-Path      Energy-Level
# NKPTS & NBANDS: 660  48
# Band-Index    1
   1.38948    -13.474248
   1.40141    -13.482704
   1.41335    -13.491679
   1.42529    -13.501161
   1.43723    -13.511129
   1.44916    -13.521561
   1.46110    -13.532433
   1.47304    -13.543710
   1.48498    -13.555368
   1.49691    -13.567368
   1.50885    -13.579682
   1.52079    -13.592272
   1.53273    -13.605105
   1.54466    -13.618146
   1.55660    -13.631357
   1.56854    -13.644702
   1.58048    -13.658151
   1.59241    -13.671673
   1.60435    -13.685231
   1.61629    -13.698795
   1.62823    -13.712336
   1.64016    -13.725826
   1.65210    -13.739235
   1.66404    -13.752539
   1.67598    -13.765715
   1.68791    -13.778732
   1.69985    -13.791572
   1.71179    -13.804213
   1.72373    -13.816632
   1.73566    -13.828813
   1.74760    -13.840735
   1.75954    -13.852381
   1.77148    -13.863732
   1.78341    -13.874775
   1.79535    -13.885492
   1.80729    -13.895875
   1.81923    -13.905904
   1.83116    -13.915570
   1.84310    -13.924860
   1.85504    -13.933764
   1.86698    -13.942271
   1.87891    -13.950370
   1.89085    -13.958053
   1.90279    -13.965308
   1.91473    -13.972133
   1.92666    -13.978519
   1.93860    -13.984458
   1.95054    -13.989947
   1.96247    -13.994976
   1.97441    -13.999539
   1.98635    -14.003638
   1.99829    -14.007261
   2.01022    -14.010409
   2.02216    -14.013078
   2.03410    -14.015263
   2.04604    -14.016967
   2.05797    -14.018183
   2.06991    -14.018913
   2.08185    -14.019154
   2.08185    -14.019154
   2.09188    -14.018959
   2.10192    -14.018367
   2.11195    -14.017380
   2.12199    -14.016000
   2.13202    -14.014225
   2.14206    -14.012058
   2.15209    -14.009498
   2.16213    -14.006546
   2.17216    -14.003204
   2.18220    -13.999473
   2.19223    -13.995354
   2.20227    -13.990846
   2.21230    -13.985951
   2.22234    -13.980672
   2.23237    -13.975013
   2.24240    -13.968974
   2.25244    -13.962559
   2.26247    -13.955764
   2.27251    -13.948596
   2.28254    -13.941060
   2.29258    -13.933149
   2.30261    -13.924874
   2.31265    -13.916235
   2.32268    -13.907239
   2.33272    -13.897881
   2.34275    -13.888171
   2.35279    -13.878110
   2.36282    -13.867701
   2.37286    -13.856950
   2.38289    -13.845859
   2.39293    -13.834430
   2.40296    -13.822674
   2.41299    -13.810589
   2.42303    -13.798178
   2.43306    -13.785457
   2.44310    -13.772420
   2.45313    -13.759076
   2.46317    -13.745430
   2.47320    -13.731487
   2.48324    -13.717253
   2.49327    -13.702728
   2.50331    -13.687930
   2.51334    -13.672854
   2.52338    -13.657517
   2.53341    -13.641924
   2.54345    -13.626074
   2.55348    -13.609981
   2.56352    -13.593648
   2.57355    -13.577087
   2.58358    -13.560299
   2.59362    -13.543297
   2.60365    -13.526083
   2.61369    -13.508680
   2.62372    -13.491080
   2.63376    -13.473304
   2.64379    -13.455357
   2.65383    -13.437250
   2.66386    -13.418991
   2.67390    -13.400589
   2.67390    -13.400589
   2.68036    -13.400587
   2.68683    -13.400585
   2.69329    -13.400582
   2.69976    -13.400579
   2.70623    -13.400575
   2.71269    -13.400571
   2.71916    -13.400569
   2.72562    -13.400568
   2.73209    -13.400571
   2.73856    -13.400578
   2.74502    -13.400590
   2.75149    -13.400610
   2.75795    -13.400639
   2.76442    -13.400678
   2.77089    -13.400728
   2.77735    -13.400793
   2.78382    -13.400875
   2.79028    -13.400975
   2.79675    -13.401098
   2.80322    -13.401248
   2.80968    -13.401422
   2.81615    -13.401627
   2.82261    -13.401864
   2.82908    -13.402140
   2.83555    -13.402455
   2.84201    -13.402813
   2.84848    -13.403217
   2.85494    -13.403673
   2.86141    -13.404186
   2.86788    -13.404755
   2.87434    -13.405387
   2.88081    -13.406090
   2.88727    -13.406863
   2.89374    -13.407710
   2.90020    -13.408640
   2.90667    -13.409655
   2.91314    -13.410762
   2.91960    -13.411961
   2.92607    -13.413260
   2.93253    -13.414662
   2.93900    -13.416173
   2.94547    -13.417797
   2.95193    -13.419539
   2.95840    -13.421401
   2.96486    -13.423391
   2.97133    -13.425510
   2.97780    -13.427764
   2.98426    -13.430155
   2.99073    -13.432687
   2.99719    -13.435364
   3.00366    -13.438188
   3.01013    -13.441159
   3.01659    -13.444286
   3.02306    -13.447566
   3.02952    -13.451003
   3.03599    -13.454596
   3.04246    -13.458347
   3.04892    -13.462256
   3.05539    -13.466322
   3.05539    -13.466322
   3.06110    -13.468218
   3.06682    -13.470377
   3.07253    -13.472772
   3.07825    -13.475373
   3.08396    -13.478159
   3.08968    -13.481102
   3.09539    -13.484182
   3.10111    -13.487374
   3.10682    -13.490663
   3.11254    -13.494030
