#K-Path      Energy-Level
# NKPTS & NBANDS: 160  24
# Band-Index    1
   3.04572     -3.779255
   3.02770     -3.753014
   3.00969     -3.721439
   2.99167     -3.684807
   2.97365     -3.643427
   2.95563     -3.597642
   2.93762     -3.547812
   2.91960     -3.494320
   2.90158     -3.437567
   2.88357     -3.377971
   2.86555     -3.315965
   2.84753     -3.252012
   2.82951     -3.186594
   2.81150     -3.120230
   2.79348     -3.053499
   2.77546     -2.987036
   2.75744     -2.954325
   2.73943     -2.928287
   2.72141     -2.901365
   2.70339     -2.873608
   2.68538     -2.845079
   2.66736     -2.815844
   2.64934     -2.785969
   2.63132     -2.755527
   2.61331     -2.724593
   2.59529     -2.693238
   2.57727     -2.661553
   2.55926     -2.629616
   2.54124     -2.597516
   2.52322     -2.620424
   2.50520     -2.655004
   2.48719     -2.694293
   2.46917     -2.737278
   2.45115     -2.783116
   2.43313     -2.831113
   2.41512     -2.880691
   2.41512     -2.880691
   2.39316     -2.881566
   2.37121     -2.884516
   2.34925     -2.890688
   2.32730     -2.902615
   2.30535     -2.925346
   2.28339     -2.966979
   2.26144     -3.034199
   2.23948     -3.124852
   2.21753     -3.230942
   2.19557     -3.345548
   2.17362     -3.464213
   2.15166     -3.584100
   2.12971     -3.703249
   2.10776     -3.820185
   2.08580     -3.933720
   2.06385     -4.042858
   2.04189     -4.146713
   2.01994     -4.244496
   1.99798     -4.335495
   1.97603     -4.419071
   1.95407     -4.494659
   1.93212     -4.561782
   1.91017     -4.620059
   1.88821     -4.669212
   1.86626     -4.709091
   1.84430     -4.739675
   1.82235     -4.761072
   1.80039     -4.773542
   1.77844     -4.777482
   1.75648     -4.773435
   1.73453     -4.762106
   1.71258     -4.744380
   1.69062     -4.721371
   1.66867     -4.694515
   1.64671     -4.665688
   1.62476     -4.637394
   1.60280     -4.612862
   1.58085     -4.595856
   1.55889     -4.589725
   1.55889     -4.589725
   1.54088     -4.589418
   1.52286     -4.588446
   1.50484     -4.586661
   1.48683     -4.583844
   1.46881     -4.579724
   1.45079     -4.574018
   1.43277     -4.566444
   1.41476     -4.556741
   1.39674     -4.544688
   1.37872     -4.530108
   1.36071     -4.512866
   1.34269     -4.492867
   1.32467     -4.470073
   1.30665     -4.444478
   1.28864     -4.416124
   1.27062     -4.385087
   1.25260     -4.351489
   1.23458     -4.315484
   1.21657     -4.277258
   1.19855     -4.237047
   1.18053     -4.195114
   1.16252     -4.151756
   1.14450     -4.107313
   1.12648     -4.062162
   1.10846     -4.016709
   1.09045     -3.971395
   1.07243     -3.926692
   1.05441     -3.883094
   1.03639     -3.841109
   1.01838     -3.801255
   1.00036     -3.764038
   0.98234     -3.729948
   0.96433     -3.699440
   0.94631     -3.672923
   0.92829     -3.650743
   0.91027     -3.633196
   0.89226     -3.620504
   0.87424     -3.612826
   0.85622     -3.610257
   0.85622     -3.610257
   0.83427     -3.601243
   0.81231     -3.597794
   0.79036     -3.600226
   0.76840     -3.608597
   0.74645     -3.622737
   0.72450     -3.642273
   0.70254     -3.666683
   0.68059     -3.695360
   0.65863     -3.727653
   0.63668     -3.762912
   0.61472     -3.800520
   0.59277     -3.839901
   0.57082     -3.880536
   0.54886     -3.921957
   0.52691     -3.942285
   0.50495     -3.949563
   0.48300     -3.952871
   0.46104     -3.952138
   0.43909     -3.947381
   0.41713     -3.938737
   0.39518     -3.926476
   0.37323     -3.911044
   0.35127     -3.893094
   0.32932     -3.873532
   0.30736     -3.853562
   0.28541     -3.834653
   0.26345     -3.818391
   0.24150     -3.806161
   0.21954     -3.798706
   0.19759     -3.795883
   0.17564     -3.796827
   0.15368     -3.800353
   0.13173     -3.805315
   0.10977     -3.810768
   0.08782     -3.816005
   0.06586     -3.820518
   0.04391     -3.823960
   0.02195     -3.826110
   0.00000     -3.826839
 
 
# Band-Index    7
   0.00000     -3.226166
   0.02195     -3.229358
   0.04391     -3.238763
   0.06586     -3.253894
   0.08782     -3.273958
   0.10977     -3.297863
   0.13173     -3.324220
   0.15368     -3.351344
   0.17564     -3.377295
   0.19759     -3.399928
   0.21954     -3.417107
   0.24150     -3.427071
   0.26345     -3.428862
   0.28541     -3.422512
   0.30736     -3.408794
   0.32932     -3.388809
   0.35127     -3.363650
   0.37323     -3.334250
   0.39518     -3.301372
   0.41713     -3.265631
   0.43909     -3.227537
   0.46104     -3.187530
   0.48300     -3.146008
   0.50495     -3.103359
   0.52691     -3.059958
   0.54886     -3.016190
   0.57082     -2.972454
   0.59277     -2.929176
   0.61472     -2.886793
   0.63668     -2.845764
   0.65863     -2.806562
   0.68059     -2.769644
   0.70254     -2.735442
   0.72450     -2.704323
   0.74645     -2.676540
   0.76840     -2.652196
   0.79036     -2.631218
   0.81231     -2.613328
   0.83427     -2.598063
   0.85622     -2.584858
   0.85622     -2.584858
   0.87424     -2.587802
   0.89226     -2.596504
   0.91027     -2.610607
   0.92829     -2.629582
   0.94631     -2.652823
   0.96433     -2.679702
   0.98234     -2.709664
   1.00036     -2.742238
   1.01838     -2.777063
   1.03639     -2.813880
   1.05441     -2.852519
   1.07243     -2.892869
   1.09045     -2.934861
   1.10846     -2.978442
   1.12648     -3.023558
   1.14450     -3.070139
   1.16252     -3.118080
   1.18053     -3.167250
   1.19855     -3.217476
   1.21657     -3.268558
   1.23458     -3.320260
   1.25260     -3.372311
   1.27062     -3.424428
   1.28864     -3.476302
   1.30665     -3.527601
   1.32467     -3.577990
   1.34269     -3.627108
   1.36071     -3.674590
   1.37872     -3.720053
   1.39674     -3.763104
   1.41476     -3.803335
   1.43277     -3.840321
   1.45079     -3.873628
   1.46881     -3.902821
   1.48683     -3.927461
   1.50484     -3.947136
   1.52286     -3.961486
   1.54088     -3.970220
   1.55889     -3.973154
   1.55889     -3.973154
   1.58085     -3.962927
   1.60280     -3.933641
   1.62476     -3.888658
   1.64671     -3.831756
   1.66867     -3.766213
   1.69062     -3.694595
   1.71258     -3.618916
   1.73453     -3.540787
   1.75648     -3.461596
   1.77844     -3.382599
   1.80039     -3.304993
   1.82235     -3.229940
   1.84430     -3.158563
   1.86626     -3.091919
   1.88821     -3.030956
   1.91017     -2.976424
   1.93212     -2.928825
   1.95407     -2.888359
   1.97603     -2.854912
   1.99798     -2.828088
